"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"COPYRIGHT";"DATASHEET";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY";"IR";"MANUFACTURER";"MF";"MFN";"MOUSER";"MPN";"PACKAGE";"PACKAGING";"PART-NUMBER";"POPULARITY";"QTY";"SOURCELIBRARY";"TP_SIGNAL_NAME";"VENDOR";"VR";
"1";"";"450404015514";"450404015514";"S1";"WS-SLSU Mini Slide Switch, Same Side Connection Side Push 6.7x2.7 mm";"";"";"";"https://www.we-online.com/catalog/datasheet/450404015514.pdf";"";"732-13665-1-ND";"300mA";"";"";"";"";"";"";"Tape and Reel ";"450404015514";"";" 150 ";"";"";"";"5V(DC)";
"1";"";"MS518SE";"MS518SE-FL35E";"B1";"A small, low leakage rechargeable battery for RTC backup";"";"";"";"";"";"728-1054-ND";"";"Seiko";"";"";"";"MS518SE-FL35E";"";"";"";"";"";"";"";"";"";
"3";"";"PINHD-1X1";"1X01";"J6, J7, J8";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";
"10";"0.1uF";"CAPACITOR0402_CAP";"0402_CAP";"C38, C39, C40, C41, C63, C64, C65, C66, C67, C68";"SMD Capacitor";"";"";"";"";"";"490-6328-1-ND";"";"";"";"";"";"GRM155R71C104KA88J ";"";"";"";"";"";"";"";"";"";
"22";"0.1uF";"CAPACITOR0402_CAP";"0402_CAP";"C37, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62";"SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.5pF";"CAPACITOR0402_CAP";"0402_CAP";"C1";"SMD Capacitor";"";"";"";"";"";"490-11250-1-ND";"";"";"";"";"";"GJM1555C1HR50WB01D";"";"";"";"";"";"";"";"";"";
"1";"0.8pF";"CAPACITOR0402_CAP";"0402_CAP";"C2";"SMD Capacitor";"";"";"";"";"";"490-11253-1-ND";"";"";"";"";"";"GJM1555C1HR80WB01D";"";"";"";"";"";"";"";"";"";
"1";"1.2pF";"CAPACITOR0402_CAP";"0402_CAP";"C3";"SMD Capacitor";"";"";"";"";"";"490-3085-1-ND";"";"";"";"";"";"GJM1555C1H1R2CB01D";"";"";"";"";"";"";"";"";"";
"1";"1.41k";"RESISTOR0402_RES";"0402_RES";"R16";"Resistor";"";"";"";"";"";"RMCF0402FT1K40CT-ND";"";"";"";"";"";"RMCF0402FT1K40";"";"";"";"";"";"";"";"";"";
"1";"1.8V";"XCL206B";"XCL20X";"U4";"Non-Isolated PoL Module DC DC Converter 1 Output 1.8V 600mA 2V - 6V Input";"";"";"";"";"";"893-1406-2-ND";"";"";"";"";"";"XCL206B183CR-G";"";"";"";"";"";"";"";"";"";
"7";"100k";"RESISTOR0402_RES";"0402_RES";"R30, R31, R32, R33, R34, R35, R36";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100pF";"CAPACITOR0402_CAP";"0402_CAP";"C19";"SMD Capacitor";"";"";"";"";"";"490-5922-1-ND";"";"";"";"";"";"GRM1555C1H101JA01D ";"";"";"";"";"";"";"";"";"";
"1";"10M";"RESISTOR0402_RES";"0402_RES";"R38";"Resistor";"";"";"";"";"";"RMCF0402FT10M0CT-ND";"";"";"";"";"";"RMCF0402FT10M0";"";"";"";"";"";"";"";"";"";
"7";"10k";"RESISTOR0402_RES";"0402_RES";"R20, R21, R22, R23, R24, R25, R26";"Resistor";"";"";"";"";"";"311-10KJRCT-ND ";"";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";"";"";
"1";"10k@25C";"THERMISTOR0402";"0402_RES";"RT1";"Thermistor.";"";"";"";"";"";"490-18149-1-ND";"";"";"";"";"";"NCU15XH103F60RC";"";"";"";"";"";"";"";"";"";
"2";"10nF";"CAPACITOR0402_CAP";"0402_CAP";"C29, C30";"SMD Capacitor";"";"";"";"";"";"490-6351-2-ND";"";"";"";"";"";"GRM155R71H103KA88J";"";"";"";"";"";"";"";"";"";
"3";"10nF";"CAPACITOR0402_CAP";"0402_CAP";"C26, C27, C28";"SMD Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10pF";"CAPACITOR0402_CAP";"0402_CAP";"C4, C5";"SMD Capacitor";"";"";"";"";"";"732-12054-1-ND";"";"";"";"";"";"885012005074";"";"";"";"";"";"";"";"";"";
"4";"10uF";"CAPACITOR0603_CAP";"0603_CAP";"C91, C92, C93, C94";"SMD Capacitor";"";"";"";"";"";"1253-CM105X5R106M25ATCT-ND";"";"";"";"";"";"CM105X5R106M25AT";"";"";"";"";"";"";"";"";"";
"1";"10uH";"INDUCTOR0603";"0603_CAP";"L3";"A very specific inductor";"";"";"";"";"";"490-4025-1-ND";"";"";"";"";"";"LQM18FN100M00D ";"";"";"";"";"";"";"";"";"";
"2";"11k";"RESISTOR0402_RES";"0402_RES";"R27, R28";"Resistor";"";"";"";"";"";"RMCF0402FT11K0CT-ND";"";"";"";"";"";"RMCF0402FT11K0";"";"";"";"";"";"";"";"";"";
"2";"12pF";"CAPACITOR0201_CAP";"0201_CAP";"C6, C7";"SMD Capacitor";"";"";"";"";"";"399-8604-2-ND";"";"";"";"";"";"CBR02C120F3GAC";"";"";"";"";"";"";"";"";"";
"8";"12pF";"CAPACITOR0402_CAP";"0402_CAP";"C8, C9, C10, C11, C12, C13, C14, C15";"SMD Capacitor";"";"";"";"";"";"399-8815-2-ND";"";"";"";"";"";"CBR04C120F5GAC";"";"";"";"";"";"";"";"";"";
"1";"15nH";"INDUCTOR0402";"0402_CAP";"L2";"A very specific inductor";"";"";"";"";"";"587-1521-1-ND";"";"";"";"";"";"HK100515NJ-T ";"";"";"";"";"";"";"";"";"";
"2";"162";"RESISTOR0402_RES";"0402_RES";"R4, R5";"Resistor";"";"";"";"";"";"RMCF0402FT162RCT-ND";"";"";"";"";"";"RMCF0402FT162R";"";"";"";"";"";"";"";"";"";
"1";"16MHz";"FA-20H";"FA-20H";"X2";"Description: Oscillator by EPSON from 12MHz to 54 MHz";"";"";"https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-20H_en.pdf";"";"16MHz ±10ppm Crystal 8pF 80 Ohms 4-SMD, No Lead";"SER3913CT-ND";"";"EPSON";"";"";"";"FA-20H 16.0000MF10Z-AJ3";"";"";"";"";"";"";"";"";"";
"1";"16k";"RESISTOR0402_RES";"0402_RES";"R29";"Resistor";"";"";"";"";"";"RMCF0402FT16K0CT-ND";"";"";"";"";"";"RMCF0402FT16K0";"";"";"";"";"";"";"";"";"";
"1";"18pF";"CAPACITOR0402_CAP";"0402_CAP";"C16";"SMD Capacitor";"";"";"";"";"";"399-8828-1-ND";"";"";"";"";"";"CBR04C180F5GAC";"";"";"";"";"";"";"";"";"";
